distro,version,desktop_environment,display_server,metric,value,score
fedora,43,gnome,wayland,cpu,410,0
fedora,43,kde_plasma,wayland,cpu,400,1
fedora,43,cinnamon,x11,cpu,380,2
fedora,43,mate,x11,cpu,370,3
fedora,43,xfce,x11,cpu,380,2
fedora,43,lxqt,x11,cpu,350,4
fedora,43,sway,wayland,cpu,370,3
,,,,,,
fedora,43,gnome,wayland,ram,1700,1
fedora,43,kde_plasma,wayland,ram,2600,0
fedora,43,cinnamon,x11,ram,1700,1
fedora,43,mate,x11,ram,1300,3
fedora,43,xfce,x11,ram,1400,2
fedora,43,lxqt,x11,ram,1300,3
fedora,43,sway,wayland,ram,1300,3
,,,,,,
fedora,43,gnome,wayland,vram,400,1
fedora,43,kde_plasma,wayland,vram,600,0
fedora,43,cinnamon,x11,vram,300,2
fedora,43,mate,x11,vram,200,3
fedora,43,xfce,x11,vram,150,4
fedora,43,lxqt,x11,vram,150,4
fedora,43,sway,wayland,vram,100,5
,,,,,,
lmde,7,cinnamon,x11,cpu,350,1
linux_mint,22,cinnamon,x11,cpu,350,1
linux_mint,22,mate,x11,cpu,340,2
linux_mint,22,xfce,x11,cpu,330,3
ubuntu,24.04,gnome,x11,cpu,400,0
ubuntu,26.04,gnome,wayland,cpu,400,0
,,,,,,
lmde,7,cinnamon,x11,ram,1400,2
linux_mint,22,cinnamon,x11,ram,1600,1
linux_mint,22,mate,x11,ram,1400,2
linux_mint,22,xfce,x11,ram,1400,2
ubuntu,24.04,gnome,x11,ram,2000,0
ubuntu,26.04,gnome,wayland,ram,2000,0
,,,,,,
lmde,7,cinnamon,x11,vram,300,1
linux_mint,22,cinnamon,x11,vram,300,1
linux_mint,22,mate,x11,vram,200,3
linux_mint,22,xfce,x11,vram,250,2
ubuntu,24.04,gnome,x11,vram,400,0
ubuntu,26.04,gnome,wayland,vram,400,0
